1.230000+7 1.484051+0
1.240000+7 1.483876+0
1.250000+7 1.483196+0
1.260000+7 1.482530+0
1.265800+7 1.482210+0
1.270000+7 1.481952+0
1.280000+7 1.481363+0
1.300000+7 1.480000+0
1.320000+7 1.477943+0
1.320900+7 1.477815+0
1.330000+7 1.476505+0
1.340000+7 1.475106+0
1.350000+7 1.473705+0
1.360000+7 1.472143+0
1.370000+7 1.470711+0
1.375900+7 1.469888+0
1.380000+7 1.469367+0
1.390000+7 1.468477+0
1.400000+7 1.467600+0
1.420000+7 1.466482+0
1.430000+7 1.466010+0
1.431000+7 1.465957+0
1.440000+7 1.465561+0
1.450000+7 1.465059+0
1.460000+7 1.464622+0
1.480000+7 1.463811+0
1.486000+7 1.463556+0
1.490000+7 1.463393+0
1.500000+7 1.463000+0
1.520000+7 1.462462+0
1.540000+7 1.461863+0
1.541000+7 1.461840+0
1.550000+7 1.461592+0
1.560000+7 1.461341+0
1.580000+7 1.460468+0
1.590000+7 1.459937+0
1.596100+7 1.459595+0
1.600000+7 1.459400+0
1.610000+7 1.458579+0
1.620000+7 1.457790+0
1.640000+7 1.456182+0
1.650000+7 1.455363+0
1.651100+7 1.455283+0
1.660000+7 1.454623+0
1.670000+7 1.453715+0
1.680000+7 1.452863+0
1.700000+7 1.451132+0
1.706100+7 1.450576+0
1.710000+7 1.450219+0
1.720000+7 1.449335+0
1.740000+7 1.447515+0
1.750000+7 1.446594+0
1.760000+7 1.445700+0
1.761200+7 1.445594+0
1.770000+7 1.444787+0
1.780000+7 1.443889+0
1.800000+7 1.442100+0
1.810000+7 1.441191+0
1.816200+7 1.440637+0
1.820000+7 1.440307+0
1.830000+7 1.439399+0
1.840000+7 1.438489+0
1.850000+7 1.437556+0
1.860000+7 1.436662+0
1.870000+7 1.435762+0
1.871300+7 1.435649+0
1.880000+7 1.434864+0
1.890000+7 1.433983+0
1.900000+7 1.433100+0
1.920000+7 1.431508+0
1.926300+7 1.431093+0
1.930000+7 1.430840+0
1.940000+7 1.430169+0
1.950000+7 1.429571+0
1.960000+7 1.429063+0
1.980000+7 1.428022+0
1.981300+7 1.427964+0
1.990000+7 1.427559+0
2.000000+7 1.427100+0
 
 
 
