0.50000	41.806	0.42242	2.3673	10.563	11.863	47.663	22.130	109.12	134.37	1.7195	28.073	0.010312	vapor
0.75000	42.031	0.42586	2.3482	10.552	11.848	47.583	22.184	110.70	134.29	1.7123	28.163	0.010407	vapor
1.0000	42.257	0.42934	2.3292	10.540	11.832	47.503	22.238	112.34	134.22	1.7050	28.255	0.010504	vapor
1.2500	42.484	0.43287	2.3102	10.528	11.817	47.421	22.293	114.03	134.14	1.6977	28.347	0.010603	vapor
1.5000	42.711	0.43644	2.2913	10.517	11.801	47.339	22.349	115.78	134.06	1.6903	28.441	0.010705	vapor
1.7500	42.940	0.44006	2.2724	10.504	11.786	47.257	22.406	117.59	133.99	1.6829	28.536	0.010810	vapor
2.0000	43.170	0.44373	2.2536	10.492	11.769	47.174	22.463	119.46	133.91	1.6755	28.633	0.010917	vapor
2.2500	43.400	0.44745	2.2349	10.480	11.753	47.090	22.521	121.40	133.83	1.6680	28.731	0.011026	vapor
2.5000	43.632	0.45123	2.2162	10.467	11.737	47.005	22.580	123.41	133.75	1.6604	28.830	0.011139	vapor
2.7500	43.864	0.45505	2.1976	10.454	11.720	46.920	22.640	125.49	133.66	1.6528	28.931	0.011254	vapor
3.0000	44.098	0.45893	2.1790	10.441	11.703	46.833	22.700	127.65	133.58	1.6451	29.033	0.011373	vapor
3.2500	44.332	0.46287	2.1605	10.428	11.685	46.746	22.762	129.89	133.49	1.6374	29.137	0.011494	vapor
3.5000	44.568	0.46686	2.1420	10.414	11.668	46.659	22.824	132.22	133.41	1.6296	29.242	0.011619	vapor
3.7500	44.804	0.47091	2.1235	10.401	11.650	46.570	22.888	134.63	133.32	1.6218	29.349	0.011747	vapor
4.0000	45.041	0.47503	2.1051	10.387	11.632	46.480	22.952	137.15	133.23	1.6139	29.458	0.011879	vapor
4.2500	45.280	0.47921	2.0868	10.373	11.613	46.390	23.017	139.77	133.14	1.6059	29.569	0.012015	vapor
4.5000	45.519	0.48345	2.0685	10.358	11.594	46.299	23.083	142.50	133.05	1.5979	29.681	0.012154	vapor
4.7500	45.759	0.48776	2.0502	10.343	11.575	46.206	23.151	145.35	132.96	1.5898	29.796	0.012298	vapor
5.0000	46.001	0.49214	2.0319	10.328	11.556	46.113	23.219	148.32	132.86	1.5816	29.912	0.012445	vapor
5.2500	46.243	0.49660	2.0137	10.313	11.536	46.019	23.289	151.42	132.77	1.5733	30.031	0.012597	vapor
5.5000	46.486	0.50113	1.9955	10.298	11.516	45.923	23.360	154.67	132.67	1.5650	30.151	0.012754	vapor
5.7500	46.731	0.50573	1.9773	10.282	11.495	45.827	23.432	158.07	132.57	1.5566	30.274	0.012915	vapor
6.0000	46.976	0.51042	1.9592	10.266	11.474	45.729	23.505	161.63	132.47	1.5481	30.400	0.013082	vapor
6.2500	47.222	0.51520	1.9410	10.250	11.453	45.630	23.579	165.36	132.37	1.5395	30.528	0.013253	vapor
6.5000	47.470	0.52006	1.9229	10.233	11.431	45.530	23.655	169.28	132.26	1.5308	30.658	0.013431	vapor
6.7500	47.718	0.52501	1.9047	10.216	11.409	45.429	23.733	173.41	132.16	1.5220	30.791	0.013614	vapor
7.0000	47.968	0.53005	1.8866	10.198	11.387	45.326	23.811	177.75	132.05	1.5132	30.927	0.013803	vapor
7.2500	48.218	0.53520	1.8685	10.181	11.363	45.222	23.892	182.33	131.94	1.5042	31.066	0.013998	vapor
7.5000	48.470	0.54044	1.8503	10.162	11.340	45.116	23.973	187.16	131.83	1.4951	31.208	0.014201	vapor
7.7500	48.722	0.54580	1.8322	10.144	11.316	45.009	24.057	192.28	131.71	1.4859	31.353	0.014410	vapor
8.0000	48.976	0.55126	1.8140	10.125	11.291	44.900	24.142	197.69	131.59	1.4766	31.502	0.014628	vapor
8.2500	49.231	0.55685	1.7958	10.106	11.266	44.789	24.229	203.43	131.47	1.4672	31.654	0.014853	vapor
8.5000	49.487	0.56256	1.7776	10.086	11.241	44.677	24.318	209.54	131.35	1.4576	31.810	0.015087	vapor
8.7500	49.744	0.56840	1.7593	10.065	11.214	44.562	24.408	216.04	131.23	1.4479	31.970	0.015331	vapor
9.0000	50.002	0.57438	1.7410	10.045	11.188	44.446	24.501	222.97	131.10	1.4381	32.134	0.015584	vapor
9.2500	50.261	0.58050	1.7227	10.023	11.160	44.328	24.596	230.39	130.97	1.4281	32.302	0.015848	vapor
